filename,file_size_mb,row_count,timestamp_min,timestamp_max,unique_dates,n_unique_dates,benign_count,attack_count,attack_pct,label_distribution,nan_count,inf_count,duplicate_count,invalid_ts_count,out_of_range_ts_count
02-14-2018.csv,341.6,1048575,2018-02-14 01:00:00,2018-02-14 12:59:59,['2018-02-14'],1,667626,380949,36.33,"{'FTP-BruteForce': 193360, 'SSH-Bruteforce': 187589, 'Benign': 667626}",2277,5371,225128,0,5
02-15-2018.csv,358.5,1048575,2018-02-15 01:00:00,2018-02-15 12:59:59,['2018-02-15'],1,996077,52498,5.01,"{'Benign': 996077, 'DoS attacks-GoldenEye': 41508, 'DoS attacks-Slowloris': 10990}",4921,11133,1765,0,0
02-16-2018.csv,318.3,1048575,2018-02-16 01:00:32,2018-02-16 12:58:24,['2018-02-16'],1,446772,601803,57.39,"{'DoS attacks-Hulk': 461912, 'Benign': 446772, 'DoS attacks-SlowHTTPTest': 139890, 'Label': 1}",0,0,137225,1,0
02-20-2018.csv,3867.1,7948748,2018-02-20 01:00:00,2018-02-20 12:59:59,['2018-02-20'],1,7372557,576191,7.25,"{'DDoS attacks-LOIC-HTTP': 576191, 'Benign': 7372557}",36767,82139,2,0,0
02-21-2018.csv,313.7,1048575,2018-02-21 01:55:46,2018-02-21 10:43:21,['2018-02-21'],1,360833,687742,65.59,"{'DDOS attack-HOIC': 686012, 'Benign': 360833, 'DDOS attack-LOIC-UDP': 1730}",0,0,17556,0,0
02-22-2018.csv,364.9,1048575,2018-02-22 01:00:00,2018-02-22 12:59:59,['2018-02-22'],1,1048213,362,0.03,"{'Benign': 1048213, 'Brute Force -Web': 249, 'Brute Force -XSS': 79, 'SQL Injection': 34}",3569,7651,2143,0,9
02-23-2018.csv,365.1,1048575,2018-02-23 01:00:00,2018-02-23 12:59:59,['2018-02-23'],1,1048009,566,0.05,"{'Benign': 1048009, 'Brute Force -Web': 362, 'Brute Force -XSS': 151, 'SQL Injection': 53}",3754,7662,1955,0,0
02-28-2018.csv,199.6,613104,2018-02-28 01:00:00,2018-02-28 12:59:59,['2018-02-28'],1,544200,68904,11.24,"{'Benign': 544200, 'Infilteration': 68871, 'Label': 33}",0,0,3351,33,0
03-01-2018.csv,102.8,331125,2018-03-01 01:00:00,2018-03-01 12:59:59,['2018-03-01'],1,238037,93088,28.11,"{'Benign': 238037, 'Infilteration': 93063, 'Label': 25}",0,0,97,25,0
03-02-2018.csv,336.0,1048575,2018-03-02 01:00:00,2018-03-02 12:59:59,['2018-03-02'],1,762384,286191,27.29,"{'Bot': 286191, 'Benign': 762384}",2558,5542,4935,0,0
